Query	2	4	8	10	15	20	25	30	50	100	
no music	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
no opening credits	0.634127619959	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
no title at beginning	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
nonlinear timeline	0.787024157755	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
on the run	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
one against many	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
one man army	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
opening action scene	0.582506029513	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
organized crime	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
parenthood	0.59743587066	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
parody	0.540576028633	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
plot twist	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
police corruption	0.557749416975	0.75078665823	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
police detective	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
post-apocalypse	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
postmodern	1.0	0.788042146398	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
psychopath	1.0	0.820648742482	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
race against time	0.49093841324	1.0	0.907706216523	0.857669248766	1.0	1.0	1.0	1.0	1.0	1.0	
redemption	1.0	1.0	1.0	0.958050821845	1.0	1.0	1.0	1.0	1.0	1.0	
remake	1.0	1.0	0.815435105431	0.942716529188	1.0	1.0	1.0	1.0	1.0	1.0	
rescue	1.0	0.577414634414	0.857741540278	0.914207712293	1.0	1.0	1.0	1.0	1.0	1.0	
road movie	0.478910963564	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
robbery	1.0	1.0	1.0	0.974206785749	1.0	1.0	1.0	1.0	1.0	1.0	
robot	1.0	0.583765503487	1.0	0.965148350896	1.0	1.0	1.0	1.0	1.0	1.0	
rotoscoping	0	0	0	0	0	0	0	0	0	0	
satire	1.0	1.0	1.0	0.964795238939	1.0	1.0	1.0	1.0	1.0	1.0	
self sacrifice	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
serial killer	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
shakespeare	1.0	0.658680393125	0.861876578977	0.920423371423	1.0	1.0	1.0	1.0	1.0	1.0	
shootout	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
show within a show	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
slasher	1.0	0.874329963276	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
southern gothic	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
spaghetti western	0.787094299566	1.0	0.951102715672	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
spirituality	1.0	0.635677404061	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
spoof	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
steampunk	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
subjective camera	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
superhero	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
supernatural	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
surprise ending	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
swashbuckler	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
sword and sandal	0.598618804389	1.0	0.858529723765	0.935566786527	1.0	1.0	1.0	1.0	1.0	1.0	
tech-noir	1.0	0.803508557067	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
time travel	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
title spoken by character	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
told in flashback	1.0	1.0	0.936552646239	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
vampire	0.463988504455	1.0	0.900436429268	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
virtual reality	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
voice over narration	0.753790883113	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
whistleblower	1.0	0.672238774961	1.0	0.957218685897	1.0	1.0	1.0	1.0	1.0	1.0	
wilhelm scream	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
wuxia	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
zombie	1.0	0.554932530626	1.0	0.872139437661	1.0	1.0	1.0	1.0	1.0	1.0	
